standard_id,title,sector,product_category,scope_or_description,status,publication_date,revision_date,amendments,replaces_or_supersedes,ics_code,language,official_catalogue_url,official_purchase_or_access_url,keywords,source_page_title,source_url,last_verified_date
IS 5739 : 1970,Track and Field Equipment (Sports Goods for Schools),,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,track;field;equipment;sports;goods;schools,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 3181 : 2025,Conveyor Belts - Fire Resistant Conveyor Belting for Underground Mines and Such other Hazardous Applications - Specification,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;fire;resistant;belting;underground;mines;such;other;hazardous;applications,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 9405 : 2024 ( ISO 1120 : 2012),Conveyor Belts-Determination of Strength of Mechanical Fastenings-Static Test Method,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;determination;strength;mechanical;fastenings;static,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 15427 : Part 1 : 2022 ( ISO 15236-1 : 2016),"Steel Cord Conveyor Belts - Part 1 Design, Dimensions and Mechanical Requirements for Conveyor Belts for General Use",,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,steel;cord;conveyor;belts;design;dimensions;mechanical;use,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 15427 : Part 2 : 2022 ( ISO 15236-2 : 2017),Steel Cord Conveyor Belts - Part 2 Preferred Belt Types,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,steel;cord;conveyor;belts;preferred;belt;types,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 15427 : Part 4 : 2015 ( ISO 15236-4 : 2004),Steel Cord Conveyor Belts Part 4 Vulcanized Belt Joints ( First Revision ),,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,steel;cord;conveyor;belts;vulcanized;belt;joints;first;revision,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16365 : 2015 ( ISO 21182 : 2013),Light Conveyor Belts - Determination of the Coefficient of Friction,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,light;conveyor;belts;determination;coefficient;friction,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16381 : 2025 ( ISO 21178 : 2020),Light Conveyor Belts - Determination of Electrical Resistances,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,light;conveyor;belts;determination;electrical;resistances,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16382 : 2017 ( ISO 21179 : 2013),Light Conveyor Belts - Determination of the Electrostatic Field Generated by a Running Light Conveyor Belt,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,light;conveyor;belts;determination;electrostatic;field;generated;running;belt,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16383 : 2017 ( ISO 21180 : 2013),Light Conveyor Belts - Determination of the Maximum Tensile Strength,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,light;conveyor;belts;determination;maximum;tensile;strength,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16384 : 2017 ( ISO 21181 : 2013),Light Conveyor Belts - Determination of the Relaxed Elastic Modulus,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,light;conveyor;belts;determination;relaxed;elastic;modulus,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16385 : Part 1 : 2017 ( ISO 21183-1 : 2005),Light Conveyor Belts Part 1 Principal Characteristics and Applications,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,light;conveyor;belts;principal;characteristics;applications,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16388 : 2023 ( ISO 9856 : 2016),Conveyor Belts - Determination of Elastic and Permanent Elongation and Calculation of Elastic Modulus,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;determination;elastic;permanent;elongation;calculation;modulus,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16755 : 2018 ( ISO 16851 : 2012),Textiles Conveyor Belts- Determination of the Net Length of an Endless (Spliced) Conveyor Belt,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,textiles;conveyor;belts;determination;net;length;endless;spliced;belt,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16756 : 2018 ( ISO 10247 : 1990),Conveyor Belts — Characteristics of Covers — Classification,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;characteristics;covers;classification,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16758 : 2018 ( ISO 3684 : 1990),Conveyors Belts — Determination of Minimum Pulley Diameters,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyors;belts;determination;minimum;pulley;diameters,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16765 : 2019 ( ISO 14890 : 2013),Conveyor Belts — Specification for Rubber- or Plastics-Covered Conveyor Belts of Textile Construction for General Use,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;rubber;plastics;covered;textile;construction;use,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 16851 : 2018 ( ISO 583 : 2007),Conveyor Belts With a Textile Carcass — Total Belt Thickness and Thickness of Constitutive Elements — Test Methods,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;textile;carcass;total;belt;thickness;constitutive;elements,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17056 : 2019 ( ISO 282 : 1992),Conveyor Belts — Sampling,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;sampling,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17071 : 2024 ( ISO 252 : 2023),Conveyor Belts-Adhesion Between Constitutive Elements-Test Methods,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;adhesion;between;constitutive;elements,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17089 : 2019 ( ISO 433 : 2017),Conveyor Belts — Markings,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;markings,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17090 : 2019 ( ISO 703 : 2017),Conveyor Belts — Transverse Flexibility ( Troughability ) — Test Method,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;transverse;flexibility;troughability,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17114 : 2019 ( ISO 251 : 2012),Conveyor Belts with Textile Carcass — Widths and Lengths,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;textile;carcass;widths;lengths,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17496 : 2021 ( ISO 283 :2015),"Textile conveyor belts — Full thickness, tensile strength, elongation at break and elongation at the reference load — Test method",,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,textile;conveyor;belts;full;thickness;tensile;strength;elongation;break;reference;load,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17527 - (Active) : 2021 ( ISO 18573 :2012),Conveyor Belts - Test Atmospheres and Conditioning Periods - (Vaild upto 23 August 2026),,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;atmospheres;conditioning;periods;vaild;upto;august,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 17527 : 2026 ( ISO 18573 : 2024),Conveyor Belts - Test Atmospheres and Conditioning Periods,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,conveyor;belts;atmospheres;conditioning;periods,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 5920 : Part 1 : 2024 ( ISO 10110-1 : 2019),Optics and Photonics-Preparation of Drawings for Optical Elements and Systems - Part 1 General,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,optics;photonics;preparation;drawings;optical;elements;systems,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 5920 : Part 2 : 2024 ( ISO 10110-5 : 2015),Optics and Photonics-Preparation of drawings for Optical Elements and Systems - Part 2 Surface Form Tolerances,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,optics;photonics;preparation;drawings;optical;elements;systems;surface;form;tolerances,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 5920 : Part 3 : 2024 ( ISO 10110-6 : 2015),Optics and Photonics-Preparation of Drawings for Optical Elements and Systems - Part 3 Centring Tolerances,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,optics;photonics;preparation;drawings;optical;elements;systems;centring;tolerances,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 5920 : Part 4 : 2024 ( ISO 10110-7 : 2017),Optics and Photonics - Preparation of Drawings for Optical Elements and Systems - Part 4 Surface Imperfections,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,optics;photonics;preparation;drawings;optical;elements;systems;surface;imperfections,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 5920 : Part 5 : 2024 ( ISO 10110-8 : 2019),Optics and Photonics - Preparation of Drawings for Optical Elements and Systems - Part 5 Surface Texture,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,optics;photonics;preparation;drawings;optical;elements;systems;surface;texture,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
IS 5920 : Part 6 : 2024 ( ISO 10110-9 : 2016),Optics and Photonics - Preparation of Drawings for Optical Elements and Systems - Part 6 Surface Treatment and Coating,,,,,,,,,,,https://standards.bis.gov.in/website/know-your-standards,https://standardsbis.bsbedge.com/,optics;photonics;preparation;drawings;optical;elements;systems;surface;treatment;coating,Know Your Standard - Bureau of Indian Standards,https://standards.bis.gov.in/website/know-your-standards,2026-09-07
